Part Number,Product Name,Description,Price 2025,Price 2024,Category,Subcategory,Product Line,Model Info,Parent Assembly,Vendor
2179433,Service Light - Annual Inspection (label included),,149.00,,Other,,119-Rollout TP,,,Hussey
2187904,Label - Service Light (if purchased separately),,7.45,,Other,,119-Rollout TP,,,Hussey
2110177,4 x 8 Plywood 5/8 thk w/polyurethane Sq. Edge,,122.10,122.10,Lumber & Decking,FINISHED LUMBER,119- Rollout TP Pricing,,,Hussey
2016486,4 x 8 Plywood 5/8 thk w/polyurethane T & G,,112.50,102.40,Lumber & Decking,FINISHED LUMBER,119- Rollout TP Pricing,,,Hussey
2023043,4 x 8 Grey polydeck plywood 5/8 thk Sq. Edge,,151.80,118.10,Lumber & Decking,FINISHED LUMBER,119- Rollout TP Pricing,,,Hussey
2171945,4 x 8 Grey polydeck plywood 5/8 thk T & G,,269.90,211.05,Lumber & Decking,FINISHED LUMBER,119- Rollout TP Pricing,,,Hussey
2171946,4 x 8 Black polydeck plywood 5/8 thk T & G,,240.65,196.85,Lumber & Decking,FINISHED LUMBER,119- Rollout TP Pricing,,,Hussey
2098421,"4 x 8 Plywood 3/4"" w/ polyurethane T & G",,143.80,143.80,Lumber & Decking,FINISHED LUMBER,119- Rollout TP Pricing,,,Hussey
2085439,"4 x 8 Plywood 3/4"" grey polydeck T & G",,305.65,243.35,Lumber & Decking,FINISHED LUMBER,119- Rollout TP Pricing,,,Hussey
,Skirtboards 3/4' X 6 1/4' X 20'-0,Clear finish,Call for Price,Call for Price,Lumber & Decking,FINISHED LUMBER,119- Rollout TP Pricing,,,Hussey
1011309,Seat boards 3/4' X 9' X 20'-0,Clear finish,238.65,190.35,Lumber & Decking,FINISHED LUMBER,119- Rollout TP Pricing,,,Hussey
1033094,Front riser boards 3/4' X 8 1/4' X 20'-0,Clear finish,212.90,169.05,Lumber & Decking,FINISHED LUMBER,119- Rollout TP Pricing,,,Hussey
1011318,Front riser boards (high rise) 3/4' X 10 1/4' X 20'-0,Clear finish,274.60,215.15,Lumber & Decking,FINISHED LUMBER,119- Rollout TP Pricing,,,Hussey
