Product Name,Product Description,Part #,Price2025,Price2024,Price2023,Price2022,Quantity,Spec 1,Spec 2,Spec 3,Color (picklist?)
Service Light - Annual Inspection (label included),,2179433,$149.00,,,,,119-Rollout TP,,,
Label - Service Light (if purchased separately),,2187904,$7.45,,,,,119-Rollout TP,,,
4 x 8  Plywood 5/8 thk w/polyurethane Sq. Edge,,2110177,$122.10,$122.10,$122.10,$122.10,,119- Rollout TP Pricing,FINISHED LUMBER,,
4 x 8  Plywood 5/8 thk w/polyurethane T & G,,2016486,$112.50,$102.40,$102.40,$102.40,,119- Rollout TP Pricing,FINISHED LUMBER,,
4 x 8  Grey polydeck plywood 5/8 thk Sq. Edge,,2023043,$151.80,$118.10,$118.10,$118.10,,119- Rollout TP Pricing,FINISHED LUMBER,,
4 x 8  Grey polydeck plywood 5/8 thk T & G,,2171945,$269.90,$211.05,$196.85,$196.85,,119- Rollout TP Pricing,FINISHED LUMBER,,
4 x 8  Black polydeck plywood 5/8 thk T & G,,2171946,$240.65,$196.85,$196.85,$196.85,,119- Rollout TP Pricing,FINISHED LUMBER,,
"4 x 8  Plywood 3/4"" w/ polyurethane T & G",,2098421,$143.80,$143.80,$143.80,$143.80,,119- Rollout TP Pricing,FINISHED LUMBER,,
"4 x 8  Plywood 3/4"" grey polydeck T & G",,2085439,$305.65,$243.35,$243.35,$243.35,,119- Rollout TP Pricing,FINISHED LUMBER,,
Skirtboards 3/4” X 6 1/4” X 20’-0 ,Clear finish,,Call for Price,Call for Price,$197.70,$197.70,,119- Rollout TP Pricing,FINISHED LUMBER,,
Seat boards 3/4” X 9” X 20’-0,Clear finish,1011309,$238.65,$190.35,$190.35,$190.35,,119- Rollout TP Pricing,FINISHED LUMBER,,
Front riser boards 3/4” X 8 1/4” X 20’-0,Clear finish,1033094,$212.90,$169.05,$169.05,$169.05,,119- Rollout TP Pricing,FINISHED LUMBER,,
Front riser boards (high rise) 3/4” X 10 1/4” X 20’-0  ,Clear finish,1011318,$274.60,$215.15,$215.15,$215.15,,119- Rollout TP Pricing,FINISHED LUMBER,,
